Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C3, C4, C6, C7, C9",0603,8,10u,
"C11, C2, C5, C8",0603,4,0.1u,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",0805,12,LED_Small,
J1,PCB_USB_A,1,USB_A,
"R1, R4, R6, R8",0603,4,100k,
"R10, R11, R12, R13, R14, R9",0603,6,680,
"R2, R3, R5, R7",0603,4,220,
"U1, U2, U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,4,NE555D,
